,Title,IMDB_id,Date of release,Genre,IMDB_rating,IMDB_Votes,Cast & Crew,Plot_keywords,Plot_summary
946,Arjun: The Warrior Prince (2012),tt2404027,25 May 2012,"Animation, Action, Adventure",6.9,1.6K,"Yudhveer Bakoliya, Ashok Banthia, Ravi Khanvilkar, Vijay Kashyap, Ila Arun, Sachin Khedekar, Vishnu Sharma, Rajeshwari Sachdev, Anjan Srivastav, Hemanth Mahaur, Brajesh Jha, Niraj Sah, Achyut Potdar, Asmit Kaushik, Varinder Sharma, Anupam Shyam, Sitaram Panchal, Mithilesh Chaturvedi, Imran Khan, P.D. Verma, Ashima Chaudhari, Sanjeev Vatsa, Dev Khubnani, Avinash Deshpande, Shis Khan, Pravin Baby, Vikrant Mishra, ","krishna the hindu deity, based on mahabharata, hinduism, hindu mythology, hindu, hindu mythological, indian mythology, based on mythology, mythology, mythological, incarnated pagan deity, pagan god, warrior, arjun, storyteller, india, chariot, goldfish, dice, draupadi, mahabharat, archery, ",The tale of how Arjuna fought his inner self and became the legendary archer.
947,Guest iin London (2017),tt6173826,6 July 2017,Comedy,5.5,1.9K,"Kartik Aaryan, Kriti Kharbanda, Paresh Rawal, Tanvi Azmi, Sanjay Mishra, Naveen Kaushik, Jane Ajia, Sonia Albizuri, Ayesha Ali, Zoe Alice-Woodruff, Diane Alitchard, Ize Amadasun, Manoj Anand, Giorgia Andriani, Deepshikha Arora, Hitanshu Arora, Jason Ash, Raj Awasti, V.M. Badola, Toni Beard, Safron Beck, Moe Bilal, James Boyd, Catalina Caraus, Tina Chandorkar, Kelsey Charan, Mohit Chhabra, Bob Cockbill, Jules Cooke, Eva Crankson, Ajay Devgn, Courage Emeka, Chloe Rose Fisher, Geet Gholap, Jaime Gichanga, Taj Gill, Rod Glenn, Ashish Gole, Alessia Gotti, Tommie Grabiec, Karolina Grzegorek, Metin Hassan, Tim Heath, Anjana Hindocha, Minaxi Hira, Jasmin Hoinka, Mrunal Jain, Mariola Jaworska, Amrita Jazzmyn, Atul Kale, Jassi Kapoor, Rachita Kapoor, Vaunisha Kapoor, Jess Kaur, Kavel Kaur, Sharad Kelkar, Michael Konieczny, Caroline Koziol, Dimple Kumar, Armani La Wong, Sly Livingstone, Tori Lyons, Rohini Makwana, Soni Marwah, Nidhi Mathur, Zivile Matikiene, Marian Millicent Miller, Bharat Mistri, Atul Modha, Harsha Morarji, Shafaq Naaz, Parvinder Nandhra, Lim Nicole, Jasmin Ottenburg, Hemant Parekh, Joseph Pharoah, Nick Pillow, Sarah Pitts, Brian Potter Jr., Cav Powell, Kamal Prabhakar, Donna Preston, Karen Price, Shiva Rai, Jasvinder Singh Rathore, Priscilla Riot, Scott Rodrigues, Mareeha Safdar, Nick Salsbury, Stephen Samson, Arjun Sanghera, Anna Satchit, Harmeet Sawhney, Atul Sharma, Divya Sharma, Vinita Sharma, Amrit Sidhu, Diljohn Singh, Amanda Smith, Sylvester Smith, Ayvianna Snow, Alexandra Starkey, Arevika Stepanian, Ian Doon Stuart, Balbir Sudera, Kellyann Summers, Wendy Michelle Taylor, Phil Tillott, Scarlett Tobin, Vandana Tomar, Tinnie Tong, John Whalf, Stuart Whelan, Lukasz Wrzolek, Mansoor Zahid, Dre Zengarta, ","couple, ","A young couple in London struggle to live with their estranged aunt and uncle, who overstay their welcome."
948,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
949,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
950,Poster Boys (2017),tt6352548,8 September 2017,Comedy,5.4,1.5K,"Sunny Deol, Bobby Deol, Shreyas Talpade, Randheer Rai, Ganesh Acharya, Bharti Achrekar, Kamal Adib, Somesh Agarwal, Elli Avrram, Tasha Bhambra, Samiksha Bhatnagar, Rajesh Bhosle, Parineeti Chopra, Monika Chowdhury, Ajay Devgn, Tripti Dimri, Meghna Erande, Farhana Fatema, Ravi Jhankal, Jitendra Joshi, Ashwini Kalsekar, Kamaladeep, Tusshar Kapoor, Faiz Khan, Rajesh S. Khatri, Sachin Khedekar, Kunal Khemu, Sonali Kulkarni, Lalu Makhija, Jiten Mukhi, Ajit Singh Palawat, Samrat Raichand, Bunty Rathore, Jayant Rawal, Bhupendra Shahi, Murli Sharma, Raj Sharma, Rohit Shetty, Sunita Shirole, Brij Shukla, Lovely Singh, Rohini Somkumar, Balvinder Singh Suri, Raashul Tandon, Jayesh Thakkar, Arshad Warsi, ",,Life of three men comes in trouble when their photos appear on advertisement for sterilization.
951,Policegiri (2013),tt2861320,4 July 2013,"Action, Comedy, Crime",4.1,1.4K,"Sanjay Dutt, Prachi Desai, Prakash Raj, Om Puri, Rajpal Yadav, Manoj Joshi, Mukesh Tiwari, Arun Bali, Manoj Chaturvedi, Kavitta, Ehsan Khan, Ramesh Khanna, Raju Mavani, Besant Ravi, Rajat Rawail, Kishori Shahane, Sadat Shamsi, Gauri Shankar, Murli Sharma, Kavitta Verma, Vasu Vikram, ","remake, blackmail, challenge, market, transfer order, riot, bomb, thief, tough cop, jewelry store, necklace, crime boss, bribe, raid, montage, temple, wedding, gas station, action hero, police officer, title spoken by character, ",DCP Rudra faces a bunch of challenges after he locks horns with a notorious criminal Nagori Subramanium.
952,Bade Dilwala (1999),tt0286478,22 January 1999,"Comedy, Drama, Romance",3.6,1.3K,"Sunil Shetty, Priya Gill, Paresh Rawal, Archana Puran Singh, Satish Kaushik, Ranjeet, Baby Erum, Sachin Khedekar, Raju Kher, Suhas Bhalekar, Jayant Sawarkar, Guddi Maruti, Raju Srivastava, Preeti Joshi, Jibraan Khan, Fatima Sana Shaikh, Shadab Noorani, Chander Mohan Khanna, Rashid Khan, Giri Raj, ","father daughter relationship, husband wife relationship, dream, reporter, kindness, honesty, goodness, dissatisfaction, promise, cafe, materialism, double decker bus, philanthropist, beauty parlor, reference to shahrukh khan, tough guy, greed, cell phone, selfishness, con man, con artist, breaking the fourth wall, hotel, voice over narration, brawl, lawyer, court, attempted rape, divorce, ship, newspaper, accidental killing, pimp, marital separation, implied sex, talking to the camera, scandal, secret past, hot air balloon, movie financier, lottery, waitress, police officer, lottery ticket, dysfunctional marriage, generosity, fight, car accident, mother daughter relationship, pursuit, gun, policeman, watching television, umbrella, eyeglasses, coffee, beggar, shopping, aids, screaming in delight, falling from height, taxi, speech, reference to raj kapoor, reference to amitabh bachchan, reference to aamir khan, rain, party, school, flashback, trial, dance, attempted robbery, hotel room, wedding night, newspaper headline, mall, reward, applause, perjury, false accusation of adultery, ex husband ex wife relationship, holi, skateboard, amusement park, arm in a sling, water slide, secret marriage, renovation, water park, ","A police officer Ram (Sunil Shetty), a man of his word. His wife Manthara (Archana Puran Singh) is obsessed with money and neglects her family in pursuit of getting rich quick. She forces Ra... Read all"
953,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
954,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
955,Aandhi (1975),tt0178186,13 February 1975,"Drama, Romance",8.1,1.4K,"Suchitra Sen, Sanjeev Kumar, Om Shivpuri, Manmohan, A.K. Hangal, Kamaldeep, C.S. Dubey, Ranvir Raj, Baldev Mehta, Madhup Sharma, Vinod Sharma, Baby Pinky, Ashok Saxena, Robert, Harish Magon, Purohit, Om Prakash, Rehman, ","marriage, love, hotel manager, hotel, banned film, marital separation, breakup, dysfunctional marriage, female politician, politics, flashback, election, ","J.K. is a hotel Manager in a scenic location in India. One day he gallantly comes to the rescue of a drunk daughter, Aarti, of a politician, and chooses to be discrete about it. When she rec... Read all"
956,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
957,Sadda Adda (2012),tt1941638,13 January 2012,"Comedy, Drama, Romance",7.1,1.4K,"Karan Sharma, Karanvir Sharma, Shaurya Chauhan, Bhaumik Sampat, Kadambari Jethwani, Rohin Robert, Kunal Pant, Parimal Aloke, RaghuMinati, Maryam Zakaria, ","slice of life, madhouse, the latest, mauritius, year 2011, wide release, bollywood, ","'The only thing that will stop you from fulfilling your dreams is you"" People have dreams, but not all of us have the guts to put faith in ourselves. Most of us lose focus and give up. We ar... Read all"
958,Chalti Ka Naam Gaadi (1958),tt0128985,1 January 1958,"Comedy, Musical, Romance",8.0,1.6K,"Ashok Kumar, Madhubala, Anoop Kumar, Kishore Kumar, K.N. Singh, Sajjan, S.N. Banerjee, Mohan Choti, Sahira, Kamal, Veena, Helen, Cuckoo, ","garage, mechanic, photograph, four word title, sneezing, shyness, misogyny, boxing gloves, scheme, marriage for money, captive woman, misogynist, car trouble, lake, car race, boxing, fistfight, brother brother relationship, car, screwball comedy, dream, rain, boat, ",Three woman-hating brothers face changes in their respective lifestyles when two of them fall in love.
959,Kisna: The Warrior Poet (2005),tt0396690,19 January 2005,"Drama, Musical, Romance",4.5,1.4K,"Vivek Oberoi, Isha Sharvani, Antonia Bernath, Sushmita Sen, Hrishitaa Bhatt, Polly Adams, Michael Maloney, Caroline Langrishe, Amrish Puri, Om Puri, Vivek Mushran, Yashpal Sharma, Shivaji Satam, Vikram Gokhale, Zarina Wahab, Rajat Kapoor, Sudhir Mittu, Jeetu Verma, Harry Josh, Bobby Bedi, Rahul Singh, Mehul Thakur, Asha Sharma, Mithilesh Chaturvedi, Vivek Shauq, Nawab Khan, Karan Desai, Manjiri Bhate, Anna, Yash Pawar, Manav Tiwari, Sunita Shirole, P.D. Verma, Ronit Roy, Ashwini Kalsekar, Chetana Das, Vivek Srivastav, ","reference to krishna the hindu deity, british, india, love, karma, 1930s, brother versus brother, rope dancer, horse and carriage, voice over narration, riot, older man younger woman relationship, bathing, warrior, vengeance, tradition, sword, sword fighting, sword duel, song, savior, safe return home, religious fanaticism, rebel, promise, pride, patriotism, palace, obsessive love, nonlinear timeline, murder, mountain, mother son relationship, melodrama, love triangle, jealousy, jealous lover, infatuation, horse, horse riding, hindu, flute, fanatic, dancing, dancer, chase, british embassy, british colonial, betrayal, arson, arrogance, 1940s, hindu temple, hate crime, eye patch, evil prince, ethnic hatred, church, childhood, childhood love, childhood friend, partition, compassion, told in flashback, character name in title, ","A man befriends and protects a British girl from a group of nationalists that want England to hand India back to them. They fall for each other, but the man is due to marry."
960,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
961,Naqaab (2018),tt8033702,21 September 2018,"Comedy, Horror, Thriller",5.9,389,"Shakib Khan, Nusrat Jahan, Sayantika Banerjee, Rudranil Ghosh, Amit Hasan, Kharaj Mukherjee, Sadek Bachchu, Shiba Shanu, Supriyo Dutta, Arindam Dutta, ",,"After a accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice."
962,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
963,Kachche Dhaage (1999),tt0206067,19 February 1999,"Action, Drama, Thriller",6.0,1.5K,"Ajay Devgn, Saif Ali Khan, Manisha Koirala, Namrata Shirodkar, Maya Alagh, Sadashiv Amrapurkar, Govind Namdeo, Annu Kapoor, Parmeet Sethi, Simran, Ishrat Ali, Kenneth Desai, Harish Khanna, Vineet Kumar, Hemant Pandey, Mahavir Shah, Anupam Shyam, Rajeev Verma, Rajesh Vivek, Shri Vallabh Vyas, S.M. Zaheer, ","illegitimate son, love, framed for murder, bomb, manhunt, investigation, police corruption, single mother, assassination, yuppie, truck driver, half brother half brother relationship, car bomb, mysterious man, arms smuggling, cremation, funeral pyre, absent father, rajasthan, fiance fiancee relationship, deathbed confession, stealing a truck, advertising executive, showdown, shootout, rocket launcher, corrupt cop, train accident, exploding train, railway crossing, desert, shootout in an airport, traitor, terrorist, on the run, ammunition, smuggling, gypsy, running after a train, handcuffed together, train tracks, cbi officer, indo pak border, directorial debut, muslim, hindu, male bonding, two man army, brother brother relationship, death of father, hospital, rain, lust, seduction, exploding car, blackmail, jail, telephone call, marriage proposal, explosion, boyfriend girlfriend relationship, held at gunpoint, anger, revolver, torture, corpse, shower, mortgage, bare chested male, father son relationship, insult, snake, opening action scene, blindfold, machine gun, molestation, argument, motorcycle crash, arrest, shot in the leg, judge, package, severed finger, selfishness, discontent, resentment, mother slaps son, newspaper headline, pistol whip, shower with clothes on, deathbed, watchtower, cobra, jumping from a truck, tarp, apology, ambush, binoculars, village, deception, character repeating someone else's dialogue, lawyer, person under train, elopement, shot in the back, radio, truck hit by a train, shot in the chest, airport, doctor, tent, knocked unconscious, fight in a tent, drumming one's fingers, mosque, stealing a car, death, police, hand grenade, exploding truck, motorcycle, truck, beating with a belt, forest, escape, disarming someone, police station, cult film, frame up, handcuffs, train, horse, police officer, mother son relationship, soup, beating, two word title, ",Two stepbrothers who loathe each other have to work together to avoid being framed for terrorist activities.
